48.582930;7.743740;1
48.582690;7.743510;8
48.582700;7.743450;11
48.582750;7.743180;12
48.582790;7.742900;10
48.582810;7.742730;12
48.582850;7.742320;12
48.582860;7.742130;7
48.583060;7.742120;11
48.583180;7.742110;11
48.583230;7.742100;9
48.583400;7.742020;12
48.583520;7.741970;12
48.583600;7.741920;10
48.583840;7.741760;8
48.583890;7.741640;11
48.583920;7.741530;11
48.583940;7.741430;11
48.583950;7.741390;12
48.583960;7.741360;9
48.583980;7.741330;12
48.584040;7.741270;12
48.584160;7.741100;8
48.584250;7.741050;12
48.584410;7.740940;12
48.584570;7.740840;12
48.584810;7.740690;11
48.585040;7.740540;12
48.585670;7.740120;10
48.585740;7.740060;12
48.586260;7.739670;10
48.586420;7.739630;10
48.586680;7.739450;11
48.586960;7.739240;12
48.587060;7.739160;11
48.587450;7.738900;11
48.587580;7.738820;12
48.587610;7.738790;7
48.587670;7.738720;12
48.587690;7.738680;12
48.587730;7.738630;12
48.587760;7.738600;11
48.587790;7.738550;9
48.587970;7.738100;10
48.588210;7.737620;10
48.588320;7.737280;9
48.588450;7.737000;12
48.588550;7.736800;11
48.588700;7.736490;11
48.588810;7.736320;7
48.588900;7.736250;12
48.589110;7.736060;10
48.589210;7.736000;11
48.589350;7.735890;11
48.589400;7.735870;12
48.589440;7.735850;11
48.589560;7.735760;10
48.589660;7.735680;12
48.589930;7.735470;11
48.590120;7.735320;9
48.590280;7.735170;12
48.590350;7.735110;11
48.590410;7.735050;12
48.590500;7.734970;11
48.590530;7.734930;12
48.590550;7.734900;10
48.590590;7.734870;12
48.590640;7.734820;12
48.590790;7.734700;12
48.590940;7.734580;11
48.591050;7.734490;10
48.591120;7.734400;12
48.591180;7.734340;12
48.591220;7.734290;12
48.591270;7.734220;6
48.591500;7.734100;10
48.591590;7.734080;11
48.591680;7.734080;8
48.591750;7.734090;12
48.591790;7.734100;11
48.591910;7.734150;12
48.592140;7.734250;7
48.592250;7.734430;12
48.592380;7.734650;10
48.592440;7.734760;12
48.592510;7.734900;11
48.592590;7.735100;8
48.592620;7.735540;11
48.592610;7.735660;5
48.592590;7.735770;10
48.592560;7.735830;11
48.592510;7.735900;9
48.592460;7.735950;11
48.592330;7.736010;8
48.592280;7.736020;12
48.592250;7.736020;11
48.592200;7.736010;11
48.592140;7.735990;9
48.592090;7.735940;11
48.592030;7.735880;7
48.591960;7.735760;12
48.591690;7.735270;11
48.591370;7.734620;12
48.591310;7.734500;10
48.591220;7.734290;11
48.591190;7.734230;12
48.591160;7.734160;11
48.591090;7.734040;11
48.590950;7.733720;12
48.590900;7.733610;10
48.590800;7.733490;10
48.590350;7.732580;11
48.590030;7.731980;8
48.589880;7.731720;12
48.589190;7.730610;12
48.588490;7.729480;11
48.587420;7.727720;7
48.587050;7.727170;11
48.586690;7.726660;12
48.586420;7.726290;12
48.586250;7.726050;10
48.585960;7.725720;8
48.585620;7.725360;11
48.585340;7.725090;9
48.585220;7.724990;12
48.585150;7.724940;11
48.585040;7.724830;10
48.584730;7.724610;11
48.584620;7.724550;12
48.584490;7.724460;4
48.584290;7.724360;11
48.583940;7.724190;11
48.583720;7.724100;11
48.583520;7.724020;9
